Provincias,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
BUENOS AIRES,,Berazategui Oeste,SI,,SI,SI,,
BUENOS AIRES,,,SI,,,SI,,--
Buenos Aires,Berazategui,,SI,--,,SI,SI,--
CORDOBA,,Sarmiento,SI,,--,--,,--
CORDOBA,Totoral,Simbolar,,--,--,,SI,--
Buenos Aires,Berazategui,Guillermo E. Hudson,,SI,SI,SI,SI,
BUENOS AIRES,,,SI,,,SI,,--
Buenos Aires,Berazategui,,SI,SI,,SI,SI,--
BUENOS AIRES,,Plátanos,--,,SI,SI,,--
Buenos Aires,Berazategui,,SI,SI,,SI,SI,
Buenos Aires,Berazategui,Villa España,,--,SI,,SI,--
Buenos Aires,Berisso,Barrio Banco Provincia,,--,--,,--,--
Buenos Aires,Berisso,Barrio El Carmen (Este),,--,SI,,--,
Buenos Aires,Berisso,Barrio Universitario,--,--,--,SI,--,--
ENTRE RIOS,,,--,,,SI,,SI
ENTRE RIOS,,Hambis,--,,--,--,,--
,General Pinto,General Pinto,--,SI,--,SI,SI,
,General Pinto,Germania (Est. Mayor José Orellano),,--,--,,--,
BUENOS AIRES,General Pinto,,--,--,,--,--,--
BUENOS AIRES,,,--,,,SI,,SI
BUENOS AIRES,General Pinto,Villa Roth (Est. Ingeniero Balbín),,--,--,,--,--
,General Pueyrredón,Barrio Colinas Verdes,--,--,--,SI,--,
,General Pueyrredón,Barrio El Boquerón,--,--,--,SI,--,--
,General Pueyrredón,Barrio El Casal,,--,--,,--,--
BUENOS AIRES,,Barrio El Coyunco,--,,SI,SI,,
BUENOS AIRES,,,--,,,SI,,
BUENOS AIRES,General Pueyrredón,Barrio Santa Paula,,--,SI,,--,SI
,General Pueyrredón,Batán,SI,--,SI,SI,SI,SI
,General Pueyrredón,Camet,SI,--,SI,SI,SI,
,Colón,Hocker,,--,--,,--,
BUENOS AIRES,,Ingeniero Pablo Nogués,SI,,SI,SI,,--
BUENOS AIRES,,,SI,,,SI,,SI
Buenos Aires,Malvinas Argentinas,,--,--,,--,--,
BUENOS AIRES,,Tortuguitas,SI,,SI,SI,,
Buenos Aires,Malvinas Argentinas,Villa De Mayo,,SI,SI,,SI,--
Buenos Aires,Mar Chiquita,Atlantida,,--,--,SI,--,--
BUENOS AIRES,,,--,,,SI,,
Buenos Aires,Mar Chiquita,,SI,--,,SI,SI,--
Buenos Aires,Mar Chiquita,Frente Mar,,--,--,,--,--
,San Miguel,San Miguel,SI,SI,SI,SI,SI,SI
BUENOS AIRES,,,--,,,--,,
BUENOS AIRES,,Conesa,SI,,--,SI,,SI
BUENOS AIRES,,,--,,--,--,,--
Buenos Aires,San Nicolás,,--,--,,SI,SI,SI
Buenos Aires,San Nicolás,La Emilia,--,--,--,SI,--,--
Buenos Aires,San Nicolás,San Nicolás de los Arroyos,,SI,SI,,SI,
Buenos Aires,San Nicolás,,--,--,,--,--,--
BUENOS AIRES,,,--,,,SI,,--
BUENOS AIRES,,Villa Esperanza,--,,--,--,,
BUENOS AIRES,,,--,,,--,--,--
Buenos Aires,San Pedro,Gobernador Castro,--,--,--,SI,--,--
Buenos Aires,San Pedro,Ingeniero Moneta,,--,--,,--,--
Buenos Aires,San Pedro,Obligado,,--,--,,--,--
Buenos Aires,San Pedro,Pueblo Doyle,,--,--,,--,
Buenos Aires,San Pedro,,--,--,,SI,--,--
BUENOS AIRES,,,SI,,,SI,,SI
Buenos Aires,San Pedro,Santa Lucía,--,--,SI,SI,SI,
BUENOS AIRES,San Vicente,Alejandro Korn,,SI,SI,,SI,
BUENOS AIRES,San Vicente,,--,--,,SI,,--
BUENOS AIRES,,San Vicente,SI,,SI,SI,,--
Buenos Aires,Suipacha,General Rivas,,--,--,,SI,
Buenos Aires,Suipacha,Suipacha,SI,SI,SI,SI,SI,
Buenos Aires,Tandil,De la Canal,,--,--,,--,--
CABA,COMUNA 04,PARQUE PATRICIOS,,SI,SI,,SI,SI
CHUBUT,,,SI,,,SI,,
CHUBUT,Gastre,,--,--,,--,SI,
