Provincias,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
SANTA FE,General Obligado,,--,--,,SI,SI,SI
,General Obligado,Villa Guillermina,,--,--,SI,SI,
SANTA FE,General Obligado,Villa Ocampo,,--,SI,,SI,
SANTA FE,Iriondo,,--,--,,--,--,--
SANTA FE,,,SI,,,SI,,--
SANTA FE,,,SI,,,SI,,
SANTA FE,,Carrizales (Est. Clarke),SI,,--,SI,,
,La Capital,Arroyo Aguiar,,--,--,,SI,SI
,La Capital,Arroyo Leyes,--,--,SI,SI,--,--
,La Capital,Cabal,--,--,--,,--,
SANTA FE,La Capital,Campo Andino,,--,--,,SI,
SANTA FE,,Candioti,--,,SI,SI,,--
SANTA FE,La Capital,,SI,--,,SI,SI,--
SANTA FE,La Capital,Laguna Paiva,,--,--,,SI,--
,La Capital,Llambi Campbell,,--,--,,SI,
SANTA FE,,Monte Vera,SI,,--,SI,,SI
SANTA FE,,,SI,,,SI,,--
,La Capital,Paraje Chaco Chico,--,--,--,SI,--,--
,La Capital,Paraje La Costa,,--,--,,--,
SANTA FE,La Capital,Recreo,,--,--,,SI,--
,La Capital,RINCON NORTE,--,--,--,--,--,--
SANTA FE,La Capital,,--,--,,--,--,
SANTA FE,,San José del Rincón,SI,,,SI,,SI
,La Capital,Santa Fe,,SI,SI,,SI,SI
SANTA FE,La Capital,Santo Tomé,,--,SI,,SI,--
SANTA FE,La Capital,Sauce Viejo,,--,SI,,SI,--
,La Capital,Villa Adelina,--,--,--,SI,--,
SANTA FE,,,--,,,SI,--,--
SANTA FE,,Cavour,--,,--,--,,--
SANTA FE,,,--,,,--,,
SANTA FE,Las Colonias,,--,--,,SI,SI,--
,Las Colonias,Empalme San Carlos,,--,--,,SI,--
SANTA FE,Las Colonias,Esperanza,,--,SI,,SI,SI
SANTA FE,Las Colonias,,--,--,,SI,SI,--
SANTA FE,,,SI,,SI,SI,,
,Las Colonias,Grutly,SI,--,--,SI,SI,--
,Las Colonias,Hipatia,,--,--,,--,--
SANTA FE,,Humboldt,SI,,SI,SI,,
SANTA FE,Las Colonias,,--,--,,--,,
SANTA FE,Las Colonias,,--,--,,SI,SI,--
SANTA FE,,,SI,,,SI,,SI
SANTA FE,Las Colonias,María Luisa,,--,--,,SI,
,Las Colonias,Matilde,,--,--,,SI,
SANTA FE,,Nuevo Torino,SI,,--,SI,,--
SANTA FE,Las Colonias,,SI,--,,SI,SI,--
SANTA FE,,,--,,,--,,
SANTA FE,Las Colonias,,--,--,,SI,SI,
,Las Colonias,Providencia,,--,--,,SI,--
SANTA FE,Las Colonias,Sa Pereyra,,--,--,,SI,--
,Las Colonias,San Agustín,,--,--,,SI,--
,Las Colonias,San Carlos Centro,SI,--,SI,SI,SI,
SANTA FE,Las Colonias,,--,--,,SI,SI,--
SANTA FE,,San Carlos Sud,SI,,--,SI,,--
,Las Colonias,San Jerónimo del Sauce,--,--,SI,SI,SI,
,Las Colonias,San Jerónimo Norte,,--,SI,,SI,--
SANTA FE,Las Colonias,,--,--,,--,SI,--
SANTA FE,,,--,,,SI,,--
SANTA FE,Las Colonias,Santo Domingo,,--,--,,SI,
,Iriondo,Classon,,--,SI,,SI,--
,Iriondo,Colonia Médici,--,--,--,--,--,--
SANTA FE,Iriondo,Correa,,--,SI,,SI,--
SANTA FE,,Larguía,--,,--,--,,--
SANTA FE,,,--,--,,SI,SI,
,Iriondo,Oliveros,,--,SI,,--,--
,Iriondo,Pueblo Andino,--,--,--,SI,SI,--
,Iriondo,Salto Grande,SI,--,--,,SI,--
SANTA FE,Iriondo,Serodino,,--,SI,,SI,--
SANTA FE,,Totoras,SI,,SI,SI,,--
SANTA FE,Iriondo,,SI,--,,SI,SI,
SANTA FE,,,--,,,--,,--
SANTA FE,,Villa La Rivera (Pueblo Andino),--,,--,--,,SI
,La Capital,Angel Gallardo,,--,--,,--,
,Rosario,Fighiera,SI,--,--,SI,SI,--
SANTA FE,,Funes,SI,,SI,SI,,SI
SANTA FE,Rosario,,SI,--,,SI,,SI
SANTA FE,Rosario,Granadero Baigorria,,--,SI,,SI,
,Rosario,Ibarlucea,--,--,SI,SI,SI,
SANTA FE,Rosario,,--,--,,SI,--,SI
SANTA FE,,,--,,,--,,--
SANTA FE,,Monte Flores,SI,,--,SI,,
SANTA FE,,,SI,,,SI,,SI
,Rosario,Piñero (Est. Erasto),--,--,SI,SI,--,--
,Rosario,Pueblo Esther,,--,SI,,SI,SI
SANTA FE,,,--,,,SI,SI,--
SANTA FE,,Pueblo Uranga,SI,,SI,SI,,
SANTA FE,,,--,,,SI,,--
SANTA FE,Rosario,,SI,SI,,SI,SI,SI
,Rosario,Soldini,,--,--,,SI,--
SANTA FE,Rosario,Villa Amelia,,--,SI,,SI,
SANTA FE,Rosario,Villa del Plata,,--,--,,SI,--
,Rosario,Villa Gobernador Gálvez,SI,--,SI,SI,SI,--
SANTA FE,Rosario,,SI,,,SI,SI,
SANTA FE,,Aguará Grande,--,,--,--,,
,San Cristóbal,Ambrosetti,--,--,--,SI,SI,SI
,San Cristóbal,Arrufo,,--,SI,,SI,--
SANTA FE,San Cristóbal,,--,--,,--,--,SI
SANTA FE,,,--,,,--,,
SANTA FE,San Cristóbal,Ceres,,--,--,,SI,--
,San Cristóbal,Colonia Ana,,--,--,,--,--
,San Cristóbal,Colonia Bossi,SI,--,SI,SI,--,
SANTA FE,San Cristóbal,Colonia Rosa,,--,--,,--,--
SANTA FE,,Constanza,--,,--,--,,--
SANTA FE,San Cristóbal,,--,--,,--,,--
,San Cristóbal,Hersilia,,--,--,,SI,
,San Cristóbal,Huanqueros,--,--,--,SI,--,
SANTA FE,San Cristóbal,La Cabral,,--,--,,SI,SI
,San Cristóbal,La Lucila,,--,--,,--,--
SANTA FE,San Cristóbal,,--,--,,--,SI,
SANTA FE,,,--,,,--,,--
SANTA FE,,Las Palmeras,--,,--,SI,,--
SANTA FE,San Cristóbal,,SI,--,,SI,SI,--
,San Cristóbal,Monigotes,--,--,SI,SI,SI,--
,San Cristóbal,Ñanducita,,--,--,,--,
SANTA FE,,,SI,,,SI,,--
SANTA FE,,San Cristóbal,SI,,SI,SI,,SI
,San Cristóbal,San Guillermo,,--,SI,,SI,
SANTA FE,San Cristóbal,Santurce,,--,--,,--,
SANTA FE,,,--,,,SI,,--
SANTA FE,San Cristóbal,,--,--,,SI,SI,--
SANTA FE,,,--,--,,SI,--,--
SANTA FE,,Villa Trinidad,--,,--,SI,,
SANTA FE,San Javier,Alejandra,,--,--,,SI,SI
,San Javier,Cacique Ariacaiquín,--,--,--,SI,SI,--
SANTA FE,,Colonia Durán,--,,--,--,,
SANTA FE,,,--,,,SI,,--
SANTA FE,San Javier,,--,--,,SI,SI,--
SANTA FE,,,--,,SI,SI,,--
SANTA FE,San Jerónimo,Arocena,,--,--,,--,
,San Jerónimo,Balneario Monje,--,--,--,--,--,--
,San Jerónimo,Barrancas,SI,--,--,SI,SI,--
,San Jerónimo,Barrio Caima,,--,--,,--,--
SANTA FE,,Barrio El Pacaá - Barrio Comipini,--,,--,--,,
SANTA FE,,,--,,,SI,,
SANTA FE,San Jerónimo,Casalegno,,--,--,,SI,--
,San Jerónimo,Centeno,SI,--,--,SI,SI,--
SANTA FE,,Coronda,SI,,SI,SI,,
SANTA FE,San Jerónimo,,SI,--,,SI,SI,--
,San Jerónimo,Díaz,,--,SI,,SI,--
SANTA FE,San Jerónimo,Gaboto,,--,--,,SI,--
,San Jerónimo,Gálvez,,--,SI,,SI,SI
,San Jerónimo,Gessler,SI,--,SI,SI,SI,
SANTA FE,,,--,,,SI,,--
SANTA FE,,Larrechea,--,,--,SI,,--
,San Jerónimo,Loma Alta,SI,--,SI,--,SI,
,San Jerónimo,López (Est. San Martín de Tours),,--,--,,SI,
,San Jerónimo,Maciel,SI,--,--,SI,SI,--
,San Jerónimo,Monje,,--,SI,,SI,--
SANTA FE,,Puerto Aragón,--,,--,--,,--
SANTA FE,,,--,,,SI,,
SANTA FE,San Jerónimo,,SI,--,,--,SI,--
SANTA FE,,San Genaro,SI,,SI,SI,,--
SANTA FE,San Jerónimo,San Genaro Norte,,--,SI,,SI,
,San Justo,Angeloni,--,--,--,,--,--
SANTA FE,,,--,,,--,,--
SANTA FE,San Justo,,--,--,,SI,--,--
,San Justo,Esther,,--,--,,--,
,San Justo,Gobernador Crespo,SI,--,--,SI,SI,
SANTA FE,,,SI,,,SI,,--
SANTA FE,,La Penca y Caraguatá,--,,--,--,,--
SANTA FE,,Marcelino Escalada,SI,,,SI,,
SANTA FE,San Justo,,--,--,,--,SI,
,Río Grande,Río Grande,SI,SI,SI,SI,SI,SI
TIERRA DEL FUEGO,Río Grande,Tolhuin,,--,--,,SI,SI
TIERRA DEL FUEGO,Ushuaia,,--,--,,SI,--,SI
TIERRA DEL FUEGO,,,SI,,,SI,,
TUCUMAN,,7 de Abril,--,,--,--,,SI
TUCUMAN,,,--,,,SI,,--
,Burruyacú,El Chañar,--,--,--,SI,SI,
,Burruyacú,El Naranjo,,--,--,,--,
TUCUMAN,Burruyacú,Garmendia,,--,--,,SI,--
,Burruyacú,La Ramada,--,--,--,SI,SI,--
TUCUMAN,Burruyacú,,--,--,,SI,--,
TUCUMAN,,,--,,,SI,,
,Burruyacú,Villa Benjamín Aráoz,,--,--,,SI,--
SAN LUIS,La Capital,Los Algarrobos Blancos,,--,--,,--,--
SAN LUIS,,,--,,,--,,--
SAN LUIS,,Potrero de los Funes,--,,--,SI,,
,La Capital,Pozo Del Carril,,--,--,,--,--
,La Capital,Salinas del Bebedero,--,--,--,--,SI,--
,La Capital,San Jerónimo,,--,--,,--,
SAN LUIS,La Capital,San Luis,,SI,SI,,SI,SI
SAN LUIS,,San Roque,--,,--,SI,,--
SAN LUIS,La Capital,,--,--,,--,--,--
SAN LUIS,La Capital,Varela,,--,--,,--,
,La Capital,Zanjitas,,--,--,,--,
,Libertador Grl. San Martín,Barranca Alta,--,--,--,--,--,--
SAN LUIS,Libertador Grl. San Martín,Cabeza De Novillo,,--,--,,--,--
SAN LUIS,,Casa De Los Tigres,--,,--,--,,--
SAN LUIS,Libertador Grl. San Martín,,--,--,,--,,
SAN LUIS,Libertador Grl. San Martín,,--,--,,--,--,--
SAN LUIS,,,--,,,--,,--
SAN LUIS,Libertador Grl. San Martín,El Puesto,,--,--,,--,
,Libertador Grl. San Martín,La Cocha,,--,--,,--,--
SAN LUIS,,La Ramada,--,,--,--,,--
SAN LUIS,Libertador Grl. San Martín,,--,--,,--,--,--
SAN LUIS,Libertador Grl. San Martín,La Vertiente,,--,--,,--,
,Libertador Grl. San Martín,Las Aguadas,--,--,--,--,--,
SAN LUIS,Libertador Grl. San Martín,,--,,,--,SI,--
SAN LUIS,,Planta De Sandia,--,,--,--,,--
SAN LUIS,,,--,,,--,,
SAN LUIS,Libertador Grl. San Martín,,--,--,,--,--,
,Libertador Grl. San Martín,Rincon Del Carmen,,--,--,,--,--
SAN LUIS,Libertador Grl. San Martín,San Fernando,,--,--,,--,--
SAN LUIS,Libertador Grl. San Martín,,--,--,,--,--,--
SAN LUIS,,,SI,,SI,--,,
SAN LUIS,,,--,--,,--,--,--
SAN LUIS,,Tala Verde,--,,--,--,,--
SAN LUIS,Libertador Grl. San Martín,Villa de Praga,,--,--,,SI,
,Corpen Aike,Comandante Luis Piedrabuena,SI,SI,--,SI,SI,SI
,Corpen Aike,Puerto Santa Cruz,,SI,SI,,SI,SI
SANTA CRUZ,Deseado,Caleta Olivia,,--,SI,,--,SI
SANTA CRUZ,,,--,,,--,,
SANTA CRUZ,Deseado,,--,--,,SI,--,
SANTA CRUZ,Deseado,Jaramillo,,--,--,,SI,SI
,Deseado,Koluel Kaike,--,--,--,SI,--,--
SANTA CRUZ,,Las Heras,--,,SI,SI,,
SANTA CRUZ,Deseado,,--,--,,SI,--,SI
,Deseado,Puerto Deseado,SI,SI,--,SI,SI,SI
,Deseado,Tellier,,--,--,,--,SI
SANTA CRUZ,Güer Aike,28 de Noviembre,,--,SI,,SI,SI
,Güer Aike,El Turbio (Est. Gobernador Mayer),,--,--,,--,
SANTA CRUZ,Güer Aike,,--,--,,SI,--,--
SANTA CRUZ,,,--,,,--,,SI
,Güer Aike,Río Gallegos,--,SI,SI,,SI,
SANTA CRUZ,Güer Aike,Rospentek,,--,--,,SI,
,Güer Aike,Yacimientos Río Turbio,,--,--,,SI,SI
,Lago Argentino,El Calafate,SI,--,SI,SI,SI,SI
SANTA CRUZ,,,--,,,--,,
SANTA CRUZ,,Tres Lagos,--,,--,--,,SI
SANTA CRUZ,,Los Antiguos,--,,--,SI,,SI
SANTA CRUZ,Lago Buenos Aires,,--,SI,,SI,SI,SI
,Magallanes,Puerto San Julián,,SI,--,,SI,SI
TUCUMAN,Río Chico,Bajo Caracoles,,--,--,,SI,
TUCUMAN,Río Chico,,--,--,,--,SI,SI
SANTA CRUZ,,,--,,,--,,--
,9 de Julio,Campo Garay,--,--,--,--,--,
,9 de Julio,Esteban Rams,,--,--,,SI,
SANTA FE,,Gato Colorado,--,,--,SI,,SI
SANTA FE,,,--,,,SI,,SI
SANTA FE,9 de Julio,,--,--,,--,--,--
SANTA FE,,,SI,,,SI,,
SANTA FE,9 de Julio,Montefiore,,--,--,,SI,SI
,9 de Julio,Pozo Borrado,--,--,--,SI,SI,--
SANTA FE,,,--,,,--,,
SANTA FE,9 de Julio,,--,--,,SI,SI,SI
SANTA FE,,Tostado,SI,,,SI,,SI
SANTA FE,9 de Julio,,--,--,,SI,SI,SI
,Belgrano,Armstrong,SI,--,SI,SI,SI,
SANTA FE,Belgrano,Bouquet,,--,--,,SI,
,Belgrano,Las Parejas,,--,SI,,SI,--
,Belgrano,Las Rosas,SI,--,SI,SI,SI,--
SANTA FE,,,SI,,,SI,,
SANTA FE,,Tortugas,SI,,--,SI,,SI
,Caseros,Arequito,SI,--,--,SI,SI,--
SANTA FE,Caseros,Arteaga,,--,--,,SI,--
SANTA FE,Caseros,,--,--,,SI,SI,--
SANTA FE,,Bigand,SI,,--,SI,,
SANTA FE,Caseros,Casilda,,--,SI,,SI,--
,Caseros,Chabás,SI,--,SI,,SI,--
,Caseros,Chañar Ladeado,SI,--,SI,SI,SI,
,Castellanos,Bauer y Sigel,,--,--,,SI,--
SANTA FE,,Bella Italia,SI,,SI,SI,,--
SANTA FE,,,--,,,--,,--
,Castellanos,Colonia Bicha,,--,SI,,--,
,Castellanos,Colonia Cello,--,--,--,SI,SI,
,Castellanos,Colonia Margarita,--,--,--,--,SI,--
,Castellanos,Colonia Raquel,,--,SI,,SI,--
SANTA FE,,Coronel Fraga,--,,--,--,,
SANTA FE,,,--,,,SI,,--
SANTA FE,Castellanos,,--,--,,SI,SI,--
SANTA FE,,,--,,,SI,,--
SANTA FE,Castellanos,Estacion Presidente Roca,,--,--,,--,--
,Castellanos,Estación Saguier,--,--,--,--,--,
SANTA FE,,,SI,,,SI,,--
SANTA FE,Castellanos,,--,--,,--,--,--
,Castellanos,Frontera,,--,--,,--,
,Castellanos,Garibaldi,--,--,--,--,SI,
SANTA FE,,,--,,,SI,,--
SAN LUIS,,Villa Mercedes,SI,,SI,SI,,--
SAN LUIS,,Villa Reynolds,--,,--,SI,,
SAN LUIS,General Pedernera,,--,--,,--,--,
,Gobernador Dupuy,Anchorena,,SI,--,,SI,--
SAN LUIS,Gobernador Dupuy,Arizona,,SI,--,,SI,--
SAN LUIS,Gobernador Dupuy,,--,--,,--,SI,
SAN LUIS,,,--,,,--,,SI
SAN LUIS,,Buena Esperanza,--,,--,SI,,SI
SAN LUIS,Gobernador Dupuy,,--,--,,SI,SI,SI
,Gobernador Dupuy,Fortuna,--,SI,--,--,SI,
,Gobernador Dupuy,La Maroma,,--,--,,SI,
SAN LUIS,Gobernador Dupuy,Los Overos,,--,--,,--,--
,Gobernador Dupuy,Martín de Loyola,,--,--,,--,SI
SAN LUIS,Gobernador Dupuy,,--,--,,--,SI,
SAN LUIS,,,--,,,--,,
,Gobernador Dupuy,Nueva Galia,--,--,--,,SI,--
SANTA FE,Castellanos,Humberto Primo,,--,SI,,SI,--
SANTA FE,,,SI,--,,SI,SI,
SANTA FE,,Lehmann,SI,,SI,SI,,--
SANTA FE,Castellanos,María Juana,,--,SI,,SI,--
,Castellanos,Nueva Lehmann,--,--,--,--,--,--
,Castellanos,Plaza Clucellas,,--,--,,SI,--
SANTA FE,Castellanos,Plaza Saguier,,--,--,,--,
SANTA FE,,,--,,,SI,,--
SANTA FE,Castellanos,,--,--,,--,--,--
SANTA FE,Castellanos,Rafaela,,--,SI,,SI,
,Castellanos,Ramona,SI,--,--,SI,SI,--
SANTA FE,Castellanos,San Antonio,,--,--,,--,--
,Castellanos,San Vicente,SI,--,--,SI,SI,--
SANTA FE,Castellanos,,SI,,,SI,SI,--
SANTA FE,,Sunchales,SI,,SI,SI,,
SANTA FE,,,--,,,SI,,--
SANTA FE,Castellanos,,SI,--,,SI,SI,--
,Castellanos,Vila,,--,--,,SI,
SANTA FE,Castellanos,Villa Josefina,,--,--,,--,--
SANTA FE,Castellanos,,--,--,,--,SI,--
SANTA FE,,,--,,--,--,,--
,Castellanos,Zenón Pereyra,--,--,--,SI,--,
SANTA FE,Constitución,Alcorta,,--,SI,,SI,
SANTA FE,,Barrio Arroyo del Medio,--,,--,--,,--
SANTA FE,Constitución,,--,--,,SI,,--
SANTA FE,Constitución,,SI,--,,SI,SI,
SANTA FE,,,--,,,SI,,
SANTA FE,Constitución,Cepeda,,--,--,,--,--
,Constitución,Empalme Villa Constitución,,--,--,,SI,--
SANTA FE,,Firmat,--,,--,--,,--
SANTA FE,Constitución,,SI,--,,SI,--,
SANTA FE,,,--,,,SI,,--
SANTA FE,,Juan B. Molina,SI,,--,SI,,--
,Constitución,Juncal,,--,SI,,SI,
,Constitución,La Vanguardia,--,--,SI,--,SI,
,Constitución,Máximo Paz (Est. Paz),,--,--,,SI,--
SANTA FE,Constitución,Pavón,,--,--,,SI,--
SANTA FE,,Pavón Arriba,--,,SI,SI,,
SANTA FE,Constitución,,--,--,,SI,SI,
SANTA FE,Constitución,Rueda,,--,--,,SI,--
,Constitución,Santa Teresa,,--,SI,,SI,--
SANTA FE,,Sargento Cabral,--,,SI,SI,,--
SANTA FE,,,--,,,SI,,
,Constitución,Theobald,--,--,--,SI,SI,--
,Constitución,Villa Constitución,,--,SI,,SI,--
SANTA FE,Garay,Cayastá,,--,--,,SI,
,Garay,Helvecia,--,--,--,SI,SI,--
SANTA FE,Garay,,--,--,,SI,SI,--
SANTA FE,,,--,,,SI,,SI
,Garay,Santa Rosa de Calchines,,--,--,,SI,--
SANTA FE,General López,Aarón Castellanos (Est. Castellanos),,--,--,,SI,
,General López,Amenábar,SI,--,--,SI,SI,--
SANTA FE,General López,Cafferata,,--,SI,,--,--
SAN JUAN,,,--,,SI,SI,,
SAN JUAN,Jáchal,,--,--,,--,SI,--
SAN JUAN,,,--,,,--,,--
SAN JUAN,,Villa Mercedes,--,,--,SI,,SI
,Pocito,Barrio Municipal,,--,--,,--,--
,Pocito,Barrio Ruta 40,--,--,--,SI,--,
SAN JUAN,,Carpintería,--,,--,SI,,--
SAN JUAN,Pocito,,--,,,SI,--,--
SAN JUAN,Pocito,Las Piedritas,,--,--,,--,
,Pocito,Quinto Cuartel,,--,--,SI,SI,
SAN JUAN,Pocito,,--,--,,SI,--,--
SAN JUAN,,Villa Aberastain - La Rinconada,SI,,--,--,,SI
SAN JUAN,,Villa Barbosa - Villa Nacusi,--,,--,SI,,--
SAN JUAN,,,--,,,SI,,
,Pocito,Villa Centenario,--,--,--,SI,--,--
,Pocito,Villa Nacusi,,--,--,,--,--
SAN JUAN,Rawson,,--,--,,--,,
SANTA FE,,Cañada del Ucle,SI,,--,--,,--
SANTA FE,,Carmen,--,,--,SI,,--
SANTA FE,General López,,--,--,,SI,SI,--
,General López,Chapuy,,--,--,,SI,
SANTA FE,General López,Chovet,,--,--,,SI,
,General López,Christophersen,,--,SI,,SI,--
,General López,Diego de Alvear,SI,--,SI,SI,SI,--
SANTA FE,,,SI,,,SI,,--
SANTA FE,,Firmat,SI,,SI,SI,,
,General López,Hughes,--,--,SI,SI,SI,--
,General López,La Chispa,,--,--,,SI,--
SANTA FE,General López,,SI,--,,SI,SI,
SALTA,,,--,,SI,SI,,SI
SALTA,La Candelaria,La Candelaria,,--,SI,,SI,--
,La Poma,Cobres,--,--,--,--,--,--
,La Poma,La Poma,--,--,SI,--,--,--
,La Viña,Ampascachi,,--,--,,--,
SALTA,,Cabra Corral,--,,--,SI,,--
SALTA,,,SI,,,SI,,SI
SALTA,La Viña,La Viña,,--,SI,,SI,
,La Viña,Talapampa,--,--,--,--,--,
,Los Andes,Olacapato,,--,SI,,--,SI
SALTA,Los Andes,San Antonio de los Cobres,,--,SI,,SI,SI
SALTA,,,--,,,--,,
SALTA,Los Andes,,--,--,,SI,--,SI
SALTA,,,SI,--,,SI,SI,SI
SALTA,,El Tunal,--,,SI,SI,,SI
SALTA,Metán,Lumbreras,,--,SI,,--,--
,Grl. José de San Martín,Padre Lozano,--,--,--,SI,--,
SALTA,,Piquirenda,--,,SI,--,,--
SALTA,,,SI,,,SI,,SI
SALTA,Grl. José de San Martín,Recaredo,,--,--,,--,
,Grl. José de San Martín,Tartagal,,--,SI,,SI,SI
SALTA,Grl. José de San Martín,,--,--,,--,--,--
SALTA,,,--,,,--,,--
SALTA,,Yacuy,--,,SI,SI,,
SALTA,Guachipas,,--,--,,SI,SI,
,Iruya,Iruya,--,--,SI,--,--,--
,Iruya,Isla de Cañas,,--,--,,--,--
SALTA,,,--,,,--,,
SALTA,,La Caldera,--,,SI,SI,,SI
SALTA,La Caldera,,SI,--,,SI,SI,--
SALTA,,,--,,,SI,,SI
SALTA,Metán,Metán Viejo,,--,SI,,--,
,Metán,Presa El Tunal,,--,--,,--,
,Metán,Río Piedras,SI,--,SI,SI,SI,SI
SALTA,Metán,San José de Metán,,--,SI,,SI,SI
SALTA,,San José de Orquera,--,,SI,--,,
SALTA,Molinos,,--,--,,--,,--
,Molinos,Molinos,,--,SI,,SI,--
,Molinos,Seclantás,--,--,SI,SI,SI,SI
SALTA,,,--,,,SI,,SI
SALTA,Orán,,--,--,,SI,SI,
,Orán,El Tabacal,,--,SI,,SI,--
SALTA,Orán,Hipólito Yrigoyen,,--,SI,,SI,SI
SALTA,Orán,La Misión,,--,--,,--,
,Orán,Pichanal,SI,--,SI,SI,SI,SI
SANTA FE,General López,,SI,,,SI,SI,--
SANTA FE,,María Teresa,SI,,--,SI,,--
,General López,Melincué (Est. San Urbano),--,--,--,SI,SI,
,General López,Miguel Torres,,--,--,,--,
SANTA FE,General López,Murphy,,--,SI,,SI,--
,General López,Rufino,SI,--,SI,SI,SI,--
SANTA FE,General López,,SI,--,,SI,SI,--
SANTA FE,,,--,,,SI,,
SANTA FE,,San Gregorio,SI,,SI,SI,,--
SANTA FE,,,SI,,,SI,,SI
,Sarmiento,Cienaguita,--,--,SI,--,--,
,Sarmiento,Colonia Fiscal,,--,--,,--,--
SAN JUAN,,,--,,,SI,SI,--
SAN JUAN,,Guanacache,--,,--,SI,,--
,Sarmiento,Las Lagunas,--,--,--,,--,SI
SAN JUAN,Sarmiento,Los Berros,,--,SI,,SI,
SAN JUAN,,Pedernal,--,,--,SI,,--
SAN JUAN,Sarmiento,,--,--,,SI,SI,--
SAN JUAN,,,--,,,SI,,
SAN JUAN,,Villa Ibáñez,--,,--,SI,,
,Valle Fértil,Astica,,--,--,,SI,--
,Valle Fértil,Balde del Rosario,--,--,--,--,SI,--
SAN JUAN,,Chucuma,--,,--,--,,--
SAN JUAN,Valle Fértil,,--,--,,SI,,
SAN JUAN,,Usno,--,,--,--,,--
SAN JUAN,,,--,,,SI,,SI
,Zonda,Villa Basilio Nievas,--,--,--,SI,SI,
,Ayacucho,Balde De Los Torres,,--,--,,--,--
SAN LUIS,Ayacucho,Balde Del Carmen,,--,--,,--,--
,Ayacucho,Balde Retamo,,--,--,--,--,--
SAN LUIS,Ayacucho,,--,--,,--,--,
SAN LUIS,,Candelaria,--,,--,SI,,
,Ayacucho,Carpinteria,,--,--,,--,--
SAN LUIS,Ayacucho,El Calden,,--,--,,--,--
SAN LUIS,,,--,,,--,,
SAN LUIS,,El Rincon,--,,--,--,,--
,Ayacucho,El Vinagrillo,,--,--,,--,--
,Ayacucho,El Zapallar,--,--,--,--,--,--
,Ayacucho,La Aguada,--,--,--,--,--,--
SAN LUIS,Ayacucho,La Avenencia,,--,--,,--,
SAN LUIS,,,--,,--,--,,--
SAN LUIS,Ayacucho,,--,--,,--,--,--
SAN LUIS,Ayacucho,La Majada,,--,--,,--,
,Ayacucho,La Represita,,--,--,,--,
SAN LUIS,Ayacucho,La Salvadora,,--,--,,--,--
,Ayacucho,Las Chacras,--,--,--,--,--,--
SAN LUIS,Ayacucho,,--,--,,--,--,
SAN LUIS,,Las Lagunitas,--,,,--,,
SAN LUIS,,Leandro N. Alem,--,,--,--,,--
SAN LUIS,,,--,,,--,,--
,Ayacucho,Los Quemados,--,--,--,--,--,
,Ayacucho,Luján,,--,--,,SI,
SAN LUIS,,,--,--,,--,--,--
SAN LUIS,,Pozo Del Molle,--,,--,--,,--
,Ayacucho,Quines,--,--,--,,--,SI
SAN LUIS,Ayacucho,Río Juan Gómez,,--,--,,--,
SAN LUIS,,Rodeo De Cadenas,--,,--,--,,--
SAN LUIS,Belgrano,,--,--,,--,--,--
SAN LUIS,,,--,,,--,,
SAN LUIS,,Balcarce,--,,--,--,,--
,Chacabuco,Colonia Zubelzu,,--,--,,--,--
,Chacabuco,Concarán,--,--,--,SI,--,SI
SAN LUIS,,Cortaderas,--,,SI,SI,,--
SAN LUIS,Chacabuco,,--,--,,--,--,
SAN LUIS,Chacabuco,,--,--,,--,--,--
SAN LUIS,,,--,,,--,,--
SAN LUIS,Chacabuco,El Sauce,,--,--,,--,--
,Chacabuco,El Sifon,,--,--,,--,
,Chacabuco,El Tala,--,--,--,--,--,--
SAN LUIS,Chacabuco,La Celestina,,--,--,,--,--
SAN LUIS,,Las Rosas,--,,--,--,,
SAN LUIS,Chacabuco,,--,--,,SI,,--
,Chacabuco,Papagayos,,--,--,,--,--
,Chacabuco,Pozo Cavado,--,--,--,--,--,--
SAN LUIS,,,--,,,--,,
SAN LUIS,Chacabuco,,--,--,,--,--,
,Chacabuco,San Felipe,,--,--,,--,--
SAN LUIS,Chacabuco,San Miguel,,--,--,,--,--
SAN LUIS,Chacabuco,San Pablo,,--,--,,--,
,Chacabuco,Santa Martina,--,--,--,--,--,
SAN LUIS,,,--,,,SI,--,--
SAN LUIS,,Villa del Carmen,--,,--,SI,,--
,Ayacucho,San Francisco del Monte de Oro,--,--,--,SI,--,--
,Ayacucho,San Ignacio,,--,--,,--,
,Ayacucho,San Miguel,,--,--,,--,SI
SAN LUIS,Ayacucho,San Roque,,--,--,,--,--
SAN LUIS,,,--,,,--,,
SAN LUIS,Ayacucho,,--,--,,--,--,
SAN LUIS,,,--,--,,--,--,--
SAN LUIS,,Santo Domingo,--,,--,--,,--
SAN LUIS,Ayacucho,Talita,,--,--,,--,
,Belgrano,Arbol Solo,--,--,--,--,--,
SAN LUIS,,Bella Estancia,--,,--,--,,--
SAN LUIS,,,--,,,--,,--
SAN LUIS,Belgrano,El Barrial,,--,--,,--,
,Belgrano,El Milagro,,--,--,,--,--
SAN LUIS,Belgrano,,--,--,,--,--,--
SAN LUIS,,,--,,,--,,--
SAN LUIS,,Hualtaran,--,,--,--,,--
SAN LUIS,Belgrano,,--,--,,--,SI,
,Belgrano,Las Lagunitas,--,--,--,--,--,--
,Belgrano,Los Molles,,--,--,,--,--
