Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2018,1,San Juan,4.92,19.3
2018,1,San Luis,12.56,43.87
2018,1,Santa Cruz,15.43,51.84
2018,1,Santa Fe,17.96,57.1
2018,1,Santiago Del Estero,10.09,40.67
2018,1,Tierra Del Fuego,24.64,83.12
2018,1,Tucumán,7.14,28.81
2017,4,Buenos Aires,15.54,48.1
2017,4,Capital Federal,24.15,57.5
2017,4,Catamarca,7.24,28.46
2017,4,Chaco,8.64,32.34
2017,4,Chubut,12.0,39.13
2017,4,Córdoba,28.42,92.84
2017,4,Corrientes,9.66,36.7
2017,4,Entre Ríos,15.49,51.81
2017,4,Formosa,8.29,32.57
2017,4,Jujuy,11.62,45.43
2017,4,La Pampa,23.98,72.78
2017,4,La Rioja,6.24,23.42
2017,4,Mendoza,5.88,21.08
2017,4,Misiones,10.9,40.01
2017,4,Neuquén,12.03,40.41
2017,4,Río Negro,12.57,40.87
2017,4,Salta,12.81,52.87
2017,4,San Juan,5.2,20.41
2017,4,San Luis,12.74,44.52
2017,4,Santa Cruz,14.67,49.29
2017,4,Santa Fe,18.15,57.72
2017,4,Santiago del Estero,10.11,40.76
2017,4,Tierra del Fuego,24.67,83.2
2017,4,Tucumán,7.15,28.85
2017,3,Buenos Aires,15.11,46.79
2017,3,Capital Federal,23.1,54.92
2017,3,Catamarca,10.08,39.57
2017,3,Chaco,7.73,28.87
2017,3,Chubut,11.93,38.81
2017,3,Córdoba,28.1,91.61
2017,3,Corrientes,8.59,32.58
2017,3,Entre Ríos,12.27,40.98
2017,3,Formosa,8.37,32.84
2017,3,Jujuy,11.36,44.34
2017,3,La Pampa,28.54,86.5
2017,3,La Rioja,6.34,23.76
2017,3,Mendoza,5.9,21.09
2017,3,Misiones,10.27,37.61
2017,3,Neuquén,17.24,57.79
2017,3,Río Negro,8.06,26.13
2017,3,Salta,18.6,76.63
2017,3,San Juan,5.23,20.49
2017,3,San Luis,12.8,44.62
2017,3,Santa Cruz,14.16,47.36
2017,3,Santa Fe,17.83,56.64
